time,open,high,low,Close,tick_volume,spread,real_volume
1611079200,12969.19,13004.65,12968.23,13001.77,2440,384,0
1611082800,13002.0,13007.8,12985.27,12998.77,2365,384,0
1611086400,12998.68,13018.51,12995.34,12998.01,2728,389,0
1611097200,13065.06,13065.78,13052.57,13063.68,665,425,0
1611100800,13063.69,13063.69,13049.15,13053.01,1402,392,0
1611104400,13052.46,13058.01,13033.04,13052.41,1806,392,0
1611108000,13052.46,13061.99,13052.39,13059.5,1220,386,0
1611111600,13059.77,13063.49,13041.66,13048.64,1289,388,0
1611115200,13048.97,13049.27,13035.72,13044.5,1170,387,0
1611118800,13044.54,13070.47,13038.44,13061.93,1412,388,0
1611122400,13062.66,13086.06,13055.65,13076.35,1183,401,0
1611126000,13076.63,13084.86,13068.27,13071.16,1202,403,0
1611129600,13070.68,13102.27,13059.73,13081.1,1935,401,0
1611133200,13081.41,13096.21,13068.83,13092.98,1753,403,0
1611136800,13093.42,13111.59,13089.27,13108.57,1620,407,0
1611140400,13108.66,13110.39,13095.47,13103.49,1301,395,0
1611144000,13103.7,13120.4,13093.67,13120.09,1442,397,0
1611147600,13121.09,13134.88,13116.89,13134.57,1637,399,0
1611151200,13134.01,13208.21,13134.01,13176.89,3200,396,0
1611154800,13177.75,13261.9,13177.67,13251.69,3621,417,0
1611158400,13250.92,13268.43,13219.78,13262.47,3073,403,0
1611162000,13263.25,13288.33,13256.19,13281.34,2607,392,0
1611165600,13281.71,13307.8,13278.96,13294.47,2489,391,0
1611169200,13294.28,13330.22,13281.12,13323.62,2668,394,0
1611172800,13323.59,13340.37,13298.97,13298.97,2965,405,0
1611183600,13329.92,13334.97,13326.68,13329.03,552,406,0
1611187200,13328.61,13364.87,13320.86,13361.75,1477,406,0
1611190800,13362.59,13395.5,13358.41,13368.67,1818,409,0
1611194400,13367.94,13387.73,13361.52,13379.1,1265,410,0
1611198000,13379.1,13391.19,13376.48,13388.73,1386,409,0
1611201600,13388.18,13405.17,13385.6,13393.13,1213,416,0
1611205200,13392.42,13399.88,13385.38,13392.68,1251,405,0
1611208800,13392.68,13396.33,13358.75,13372.24,1345,398,0
1611212400,13372.09,13382.45,13366.35,13378.22,1198,412,0
1611216000,13377.28,13386.24,13349.05,13363.87,1974,411,0
1611219600,13363.5,13376.29,13358.73,13364.16,1545,414,0
1611223200,13363.67,13368.6,13351.07,13365.66,1232,420,0
1611226800,13365.78,13367.97,13354.61,13367.53,1082,410,0
1611230400,13366.97,13375.03,13356.34,13365.35,1349,404,0
1611234000,13365.48,13380.84,13319.7,13332.11,1879,406,0
1611237600,13331.17,13356.94,13297.16,13330.27,3487,411,0
1611241200,13330.97,13402.19,13322.37,13399.6,3633,416,0
1611244800,13400.04,13405.68,13361.4,13382.21,3033,404,0
1611248400,13381.92,13385.0,13329.89,13373.74,2893,396,0
1611252000,13374.47,13399.77,13374.18,13379.07,2389,390,0
1611255600,13378.87,13420.19,13377.37,13419.35,2360,390,0
1611259200,13419.44,13436.78,13405.4,13411.56,2850,391,0
1611270000,13400.46,13407.16,13394.38,13398.43,552,424,0
1611273600,13398.3,13407.47,13380.41,13387.18,1513,408,0
1611277200,13387.25,13390.94,13376.69,13384.74,1567,403,0
1611280800,13384.51,13387.79,13347.05,13366.78,1650,401,0
1611284400,13366.78,13375.96,13352.05,13362.1,1390,415,0
1611288000,13362.14,13377.16,13358.68,13368.45,1037,419,0
1611291600,13368.39,13373.79,13356.4,13362.16,1329,415,0
1611295200,13361.79,13372.84,13350.11,13365.17,1336,407,0
1611298800,13365.15,13370.05,13355.39,13360.88,1533,413,0
1611302400,13360.99,13366.78,13339.01,13359.59,2285,407,0
1611306000,13360.27,13360.99,13324.79,13341.26,1783,408,0
1611309600,13341.45,13350.34,13329.75,13333.61,1773,408,0
1611313200,13334.07,13341.9,13321.16,13338.48,1844,408,0
1611316800,13338.94,13348.61,13314.73,13333.96,1986,407,0
1611320400,13334.09,13340.44,13319.45,13336.56,1909,418,0
1611324000,13335.76,13403.7,13334.47,13397.06,3008,416,0
1611327600,13398.06,13405.06,13337.34,13365.29,3697,417,0
1611331200,13365.29,13390.7,13351.6,13382.08,2959,399,0
1611334800,13382.85,13391.64,13366.85,13371.66,2678,395,0
1611338400,13371.66,13391.05,13355.61,13371.78,2484,390,0
1611342000,13371.95,13404.29,13364.6,13402.14,2405,390,0
1611345600,13402.29,13410.01,13368.15,13369.1,2746,395,0
1611529200,13411.51,13421.57,13409.29,13412.59,539,422,0
1611532800,13412.99,13455.52,13403.34,13451.12,1594,413,0
1611536400,13451.12,13460.57,13443.5,13453.06,1555,406,0
